"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","EXPFAIL","HIGHSD","OUTLIERRG","MTP"
"634","38.6426162719727","2.07938647270203","84.0389556884766","82.9979400634766","63.7666130065918","72.6974029541016","55","10","0.5","16S","4.4","sentino","A1","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST","1","FALSE","Target 1","UNKNOWN","SYBR","None","37.9202041625977","0.974649250507355","","","","","","","","TRUE","0.139996057769611","TRUE","3","34","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.908036244632005","N","N","Y","N","Y"
"634","38.3063507080078","1.99671101570129","82.8883590698242","85.1347503662109","","","55","10","0.5","16S","4.4","sentino","A2","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST","2","FALSE","Target 1","UNKNOWN","SYBR","None","37.9202041625977","0.974649250507355","","","","","","","","TRUE","0.139996057769611","TRUE","3","34","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.928720242796209","N","N","Y","N","Y"
"634","36.8116493225098","2.34690165519714","84.0785980224609","","","","55","10","0.5","16S","4.4","sentino","A3","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST","3","FALSE","Target 1","UNKNOWN","SYBR","None","37.9202041625977","0.974649250507355","","","","","","","","TRUE","0.139996057769611","TRUE","3","32","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.935397912118319","N","N","Y","N","N"
"635","37.4512100219727","2.39749479293823","83.0891799926758","","","","55","10","0.5","16S","4.4","sentino","A4","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST","4","FALSE","Target 1","UNKNOWN","SYBR","None","38.0053901672363","0.783729076385498","","","","","","","","TRUE","0.139996057769611","TRUE","3","33","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.939113830765292","N","N","Y","N","N"
"635","Undetermined","-0.0200683828443289","55.0004997253418","","","","55","10","0.5","16S","4.4","sentino","A5","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST","5","FALSE","Target 1","UNKNOWN","SYBR","None","38.0053901672363","0.783729076385498","","","","","","","","TRUE","0.139996057769611","TRUE","3","49","No Amp","55, 10, 0.5, 16S, 4.4, sentino","0","Y","Y","N","N","N"
"635","38.5595703125","2.22183537483215","83.0102310180664","","","","55","10","0.5","16S","4.4","sentino","A6","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST","6","FALSE","Target 1","UNKNOWN","SYBR","None","38.0053901672363","0.783729076385498","","","","","","","","TRUE","0.139996057769611","TRUE","3","34","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.943415578449404","N","N","Y","N","N"
"636","35.9410438537598","2.37367796897888","85.6577606201172","83.2403106689453","","","55","10","0.5","16S","4.4","sentino","A7","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST","7","FALSE","Target 1","UNKNOWN","SYBR","None","36.4951820373535","0.730983376502991","","","","","","","","TRUE","0.139996057769611","TRUE","3","31","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.977141219674631","N","N","Y","N","Y"
"636","36.2208633422852","2.12596106529236","85.6577606201172","59.8349151611328","","","55","10","0.5","16S","4.4","sentino","A8","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST","8","FALSE","Target 1","UNKNOWN","SYBR","None","36.4951820373535","0.730983376502991","","","","","","","","TRUE","0.139996057769611","TRUE","3","31","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.983636129694039","N","N","Y","N","Y"
"636","37.3236465454102","2.59800028800964","85.6344146728516","","","","55","10","0.5","16S","4.4","sentino","A9","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST","9","FALSE","Target 1","UNKNOWN","SYBR","None","36.4951820373535","0.730983376502991","","","","","","","","TRUE","0.139996057769611","TRUE","3","32","Amp","55, 10, 0.5, 16S, 4.4, sentino","0.967640760131394","N","N","Y","N","N"
"637_WC","38.497688293457","2.23562216758728","71.8301696777344","93.3889923095703","69.9602737426758","63.8006134033203","55","10","0.5","16S","4.4","control_sentino","A10","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST","10","FALSE","Target 1","UNKNOWN","SYBR","None","37.6654624938965","1.17694497108459","","","","","","","","TRUE","0.139996057769611","TRUE","3","34","Amp","55, 10, 0.5, 16S, 4.4, control_sentino","0.915056416137612","N","N","Y","N","Y"
